Link,https://www.imdb.com/trailers/?ref_=nv_mv_tr

Title and Year,Description,Director,Actors,For Adults?,Poster,Trailer
Freaks (2018),A bold girl discovers a bizarre  threatening  and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.,Zach Lipovsk,["Emile Hirsch" "Bruce Dern" "Grace Park" "Amanda Crew"],false,https://m.media-amazon.com/images/M/MV5BZDIzNDk0YWYtZjQwZC00NTljLWFiNDktYzRkNDc0MWY5NWQ5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2870918169/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Frozen II (2019),Anna  Elsa  Kristoff  Olaf and Sven leave Arendelle to travel to an ancient  autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.,Chris Buc,["Evan Rachel Wood" "Jonathan Groff" "Kristen Bell" "Sterling K. Brown"],false,https://m.media-amazon.com/images/M/MV5BODk3MmYwZWEtYWNjZS00MGRkLTgzMzgtZDBmMzkxMGI0N2RmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2738076697/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Good Boys (2019),Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs  being hunted by teenage girls  and trying to make their way home in time for a long-awaited party.,Gene Stupnitsky,["Jacob Tremblay" "Keith L. Williams" "Brady Noon" "Molly Gordon"],false,https://m.media-amazon.com/images/M/MV5BMTc1NjIzODAxMF5BMl5BanBnXkFtZTgwMTgzNzk1NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3207773209/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Breaking Bad (2008-2013),A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Not Found,["Bryan Cranston" "Aaron Paul" "Anna Gunn" "Betsy Brandt"],false,https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi338798873/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Anna (2019),Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,Luc Besson,["Sasha Luss" "Helen Mirren" "Luke Evans" "Cillian Murphy"],false,https://m.media-amazon.com/images/M/MV5BZjE4M2FjMDQtZGQ5Mi00YTliLWIwZmMtZGJkMjgxYTY5ZTlmXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1982643481/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Lion King (2019),After the murder of his father  a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.,Jon Favreau,["Donald Glover" "Beyoncé" "Seth Rogen" "Chiwetel Ejiofor"],false,https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3509369881/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Boys (2019-),A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Not Found,["Karl Urban" "Jack Quaid" "Antony Starr" "Erin Moriarty"],false,https://m.media-amazon.com/images/M/MV5BMjdjOTliZTQtM2FhNS00Mjk3LWJiOTgtMWJlMTg4MDgyNzc1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi4077238809/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Big Little Lies (2017-),The apparently perfect lives of upper-class mothers  at a prestigious elementary school  unravel to the point of murder when a single-mother moves to their quaint Californian beach town.,Not Found,["Reese Witherspoon" "Nicole Kidman" "Shailene Woodley" "Zoë Kravitz"],false,https://m.media-amazon.com/images/M/MV5BZmNjYzdjN2ItOTBlNy00Mjc0LWE4YmMtYTQ4ZjQzNTMyNDc4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi4110728217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Three From Hell (2019),Sequel to The Devil's Rejects.,Rob Zombie,["Sheri Moon Zombie" "Sid Haig" "Bill Moseley" "Emilio Rivera"],false,https://m.media-amazon.com/images/M/MV5BMWM3MzIzODYtZTNhOS00MjMyLWIyZmYtMDUzMmNhOWY3NWJjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1795406873/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Dronningen (2019),A woman jeopardizes both her career and her family when she seduces her teenage stepson and is forced to make an irreversible decision with fatal consequences.,May el-Toukhy,["Trine Dyrholm" "Gustav Lindh" "Magnus Krepper" "Liv Esmår Dannemann"],false,https://m.media-amazon.com/images/M/MV5BY2MyY2IzYTUtM2ZiMC00OGRkLTk5OTEtMGJhNGRkNDY2Yjk3XkEyXkFqcGdeQXVyMTc5OTQwMzk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3607214617/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Chernobyl (2019),In April 1986  an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.,Not Found,["Jessie Buckley" "Jared Harris" "Stellan Skarsgård" "Adam Nagaitis"],false,https://m.media-amazon.com/images/M/MV5BNTEyYmIzMDUtNWMwNC00Y2Q1LWIyZTgtMGY1YzUxOTAwYTAwXkEyXkFqcGdeQXVyMjIyMTc0ODQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3724524825/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Spider-Man: Far from Home (2019),Following the events of   Spider-Man must step up to take on new threats in a world that has changed forever.,Jon Watts,["Tom Holland" "Samuel L. Jackson" "Jake Gyllenhaal" "Marisa Tomei"],false,https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2600385561/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Aladdin (2019),A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Guy Ritchie,["Will Smith" "Mena Massoud" "Naomi Scott" "Marwan Kenzari"],false,https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3875453977/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Scream: The TV Series (2015-),A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,Not Found,["Willa Fitzgerald" "Bex Taylor-Klaus" "John Karna" "Carlson Young"],false,https://m.media-amazon.com/images/M/MV5BNjVmY2M3ZTUtMDhkZC00ODk4LTkwMjktNDRjNGRjYTIxZGZiXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2266542105/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Wu-Tang: An American Saga (2019-),The show tracks the Wu Tang Clan's formation  a vision of Bobby Diggs  who strives to unite a dozen young  black men that are torn between music and crime but eventually rise to become the unlikeliest of American success stories.,Not Found,["Tamiz U. Rezvi" "Erika Alexander" "T.J. Atoms" "Joey Bada$$"],false,https://m.media-amazon.com/images/M/MV5BZDIyZmI4MzctY2RjOC00OTg3LTg5ZTYtYzA1OTQ1NTk5YjMzXkEyXkFqcGdeQXVyMjUwMjUzNDQ@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi1930804249/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Knives Out (2019),A detective investigates the death of a patriarch of an eccentric  combative family.,Rian Johnson,["Ana de Armas" "Jaeden Martell" "Chris Evans" "Katherine Langford"],false,https://m.media-amazon.com/images/M/MV5BYTlkZjE3ZmEtZjA2OS00ZDBlLWI5OWMtMWU3YTNjNWMxN2I3XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi622050329/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Fyre (2019),An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,Chris Smith,["Billy McFarland" "Jason Bell" "Gabrielle Bluestone" "Shiyuan Deng"],false,https://m.media-amazon.com/images/M/MV5BMjQ2NzE1MjYxMV5BMl5BanBnXkFtZTgwMjM3MDQxNzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2433858073/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Blacklist (2013-),A new FBI profiler  Elizabeth Keen  has her entire life uprooted when a mysterious criminal  Raymond Reddington  who has eluded capture for decades  turns himself in and insists on speaking only to her.,Not Found,["James Spader" "Megan Boone" "Diego Klattenhoff" "Ryan Eggold"],false,https://m.media-amazon.com/images/M/MV5BYTMwMjk5NjctYjJlMy00OWZjLWE4NDktYTFmNmNmYTBiNWMzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi302822169/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Midsommar (2019),A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Ari Aster,["Florence Pugh" "Jack Reynor" "Vilhelm Blomgren" "William Jackson Harper"],false,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1256832025/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Game of Thrones (2011-2019),Nine noble families fight for control over the mythical lands of Westeros  while an ancient enemy returns after being dormant for thousands of years.,Not Found,["Emilia Clarke" "Peter Dinklage" "Kit Harington" "Lena Headey"],false,https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3672620057/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Joker (2019),An original standalone origin story of the iconic villain not seen before on the big screen  it's a gritty character study of Arthur Fleck  a man disregarded by society  and a broader cautionary tale.,Todd Phillips,["Joaquin Phoenix" "Zazie Beetz" "Robert De Niro" "Jolie Chan"],false,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2883960089/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La Casa de Papel (2017-),A group of very peculiar robbers assault the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and take home 2.4 billion euros.,Not Found,["Úrsula Corberó" "Itziar Ituño" "Álvaro Morte" "Pedro Alonso"],false,https://m.media-amazon.com/images/M/MV5BNmYxZWNlMDAtYzczZC00M2ViLWIwYjctMDg3M2QyN2E1MzlmXkEyXkFqcGdeQXVyNjE4ODA3NTY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3991256345/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Top Boy (2011-),Two London drug dealers ply their lucrative trade at a public housing estate in East London.,Not Found,["Ashley Walters" "Kane Robinson" "Shone Romulus" "Seraphina Beh"],false,https://m.media-amazon.com/images/M/MV5BMjI0MjUzNzc0M15BMl5BanBnXkFtZTgwMjk3NDAzNzE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi837074201/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Dead Don't Die (2019),The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,Jim Jarmusch,["Bill Murray" "Adam Driver" "Tom Waits" "Chloë Sevigny"],false,https://m.media-amazon.com/images/M/MV5BZWQxZDIzNzUtZGE3MS00MGU3LTk5NjMtZGFjMDljNDlmMWE1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi870563097/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
It Chapter Two (2019),Twenty-seven years after their first encounter with the terrifying Pennywise  the Losers Club have grown up and moved away  until a devastating phone call brings them back.,Andy Muschietti,["Jessica Chastain" "James McAvoy" "Bill Hader" "Isaiah Mustafa"],false,https://m.media-amazon.com/images/M/MV5BYTJlNjlkZTktNjEwOS00NzI5LTlkNDAtZmEwZDFmYmM2MjU2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1189329945/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Snowfall (2017-),A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s.,Not Found,["Damson Idris" "Carter Hudson" "Isaiah John" "Sergio Peris-Mencheta"],false,https://m.media-amazon.com/images/M/MV5BN2Q1NDhhMGUtMjVkNC00OTY3LTkzZWEtOTMwMDkxYjZjYjg3XkEyXkFqcGdeQXVyNzA5Mzc0MDc@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3386817305/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Sopranos (1999-2007),New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state  leading him to seek professional psychiatric counseling.,Not Found,["James Gandolfini" "Lorraine Bracco" "Edie Falco" "Michael Imperioli"],false,https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2751070489/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Handmaid's Tale (2017-),Set in a dystopian future  a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.,Not Found,["Elisabeth Moss" "Yvonne Strahovski" "Joseph Fiennes" "Ann Dowd"],false,https://m.media-amazon.com/images/M/MV5BMTU0MTI0MDAyM15BMl5BanBnXkFtZTgwMDg5MzYyNTM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3103243289/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Ballers (2015-),A series centered around a group of football players and their families  friends  and handlers.,Not Found,["Dwayne Johnson" "John David Washington" "Omar Benson Miller" "Donovan W. Carter"],false,https://m.media-amazon.com/images/M/MV5BMWU3NmVjZTUtMTgxOC00NzRiLWI1ZDgtMjdkNDFmNGMyNzA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi838187289/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Vikings (2013-),Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok  a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.,Not Found,["Gustaf Skarsgård" "Katheryn Winnick" "Alexander Ludwig" "Travis Fimmel"],false,https://m.media-amazon.com/images/M/MV5BNDYyNzk1NzYwOF5BMl5BanBnXkFtZTgwMTQ0Nzc4MzI@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3237067289/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Avengers: Endgame (2019),After the devastating events of   the universe is in ruins. With the help of remaining allies  the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.,Anthony Russ,["Robert Downey Jr." "Chris Evans" "Mark Ruffalo" "Chris Hemsworth"],false,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2163260441/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Downton Abbey (2010-2015),A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century.,Not Found,["Hugh Bonneville" "Phyllis Logan" "Elizabeth McGovern" "Brendan Coyle"],false,https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1760408089/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Sherlock (2010-),A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,Not Found,["Benedict Cumberbatch" "Martin Freeman" "Una Stubbs" "Rupert Graves"],false,https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1741338137/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
True Detective (2014-),Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved  both within and outside the law.,Not Found,["Vince Vaughn" "Colin Farrell" "Rachel McAdams" "Taylor Kitsch"],false,https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2747906585/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Brooklyn Nine-Nine (2013-),Jake Peralta  an immature  but talented N.Y.P.D. detective in Brooklyn's 99th Precinct  comes into immediate conflict with his new commanding officer  the serious and stern Captain Ray Holt.,Not Found,["Andy Samberg" "Stephanie Beatriz" "Terry Crews" "Melissa Fumero"],false,https://m.media-amazon.com/images/M/MV5BMGU3NGYyYTYtYjIzMS00ZmUwLTlmMjAtZDhhMzFiNWI0NzNkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi4257724953/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Better Call Saul (2015-),The trials and tribulations of criminal lawyer  Jimmy McGill  in the time leading up to establishing his strip-mall law office in Albuquerque  New Mexico.,Not Found,["Bob Odenkirk" "Rhea Seehorn" "Jonathan Banks" "Patrick Fabian"],false,https://m.media-amazon.com/images/M/MV5BMTAxOTQ0MjUzMzJeQTJeQWpwZ15BbWU4MDY0NTAxNzMx._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1556462361/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Ranch (2016-),The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,Not Found,["Ashton Kutcher" "Sam Elliott" "Grady Lee Richmond" "Elisha Cuthbert"],false,https://m.media-amazon.com/images/M/MV5BMTYxOTU5ODE0OV5BMl5BanBnXkFtZTgwNzM0MzQ1MDI@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi4022581785/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Jojo Rabbit (2019),A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Taika Waititi,["Roman Griffin Davis" "Thomasin McKenzie" "Taika Waititi" "Sam Rockwell"],false,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2629811993/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Dem Horizont so nah (2019),,Tim Trachte,["Luise Befort" "Jamie Bick" "Julia Eiber" "Nicola Gründel"],false,https://m.media-amazon.com/images/M/MV5BMzI3NDg1N2MtM2U5NS00MGVmLTliZjMtNDZiNTBjOWIyOWI3XkEyXkFqcGdeQXVyMDU4OTQ3NQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi683654937/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Los Rodríguez y el más allá (2019),,Paco Arango,["Arón Piper" "Geraldine Chaplin" "Rossy de Palma" "Omar Chaparro"],false,https://m.media-amazon.com/images/M/MV5BODI2YzU2ZTYtYzA0NC00MjVhLTg1OWQtODAxNmE5MzNlMzEzXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi817872665/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Between Two Ferns: The Movie (2019),Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,Scott Aukerman,["Hailee Steinfeld" "Keanu Reeves" "Brie Larson" "Tessa Thompson"],false,https://m.media-amazon.com/images/M/MV5BYzgyNzUyZjAtNDRiZS00MjQwLTgzMzQtZThhY2Y3YjFmYTc1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_UX156_AL_.jpg,https://www.imdb.com/video/imdb/vi2931801881/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Sommerfest (2017),,Sönke Wortmann,["Lucas Gregorowicz" "Anna Bederke" "Nicholas Bodeux" "Peter Jordan"],false,https://m.media-amazon.com/images/M/MV5BNmE2MmJiZDctZTU1Yi00ZGU2LTk4MGUtMTdmZGVlYjQ3NGE0XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2898247449/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Jojo Rabbit (2019),A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Taika Waititi,["Roman Griffin Davis" "Thomasin McKenzie" "Taika Waititi" "Sam Rockwell"],false,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2663366425/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
El Cuadr,,Andrés Sanz,["Antonio López" "Antonio Sáseta" "Jaime García-Máiquez"],false,https://m.media-amazon.com/images/M/MV5BN2I4M2EyZjQtZjlhZi00ZjM1LTliYjEtNDkxYTY2Mzg2YTFlXkEyXkFqcGdeQXVyODMwMjI2NDk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1958723353/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mano de obra (2019),After the death of one of his co-workers  Francisco and a group of builders will seek justice not only for the null compensation received by the owner of the house  but also for a life full of worries  contrasts and oppression.,David Zonana,["Luis Alberti" "Horacio Celestino" "Hugo Mendoza" "Jonathan Sánchez"],false,https://m.media-amazon.com/images/M/MV5BMWE1MGFiYzgtMWE0ZC00NWE3LTliZWMtOTg2NmQ3ODhiNzNiXkEyXkFqcGdeQXVyNTUwMjM4OTk@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1186971417/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Masters of Sex (2013-2016),Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.,Not Found,["Michael Sheen" "Lizzy Caplan" "Caitlin FitzGerald" "Teddy Sears"],false,https://m.media-amazon.com/images/M/MV5BMTgzNjkzNjMxOF5BMl5BanBnXkFtZTgwMTcyMTg2OTE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1874638361/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
This Is Us (2016-),A heartwarming and emotional story about a unique set of triplets  their struggles  and their wonderful parents.,Not Found,["Milo Ventimiglia" "Mandy Moore" "Sterling K. Brown" "Chrissy Metz"],false,https://m.media-amazon.com/images/M/MV5BMDM2YTMzMWMtNmFhZi00ZWY4LTk1ZmUtMWExNzg3NDZmMTY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi4273717017/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Agadah (2017),A hieratic Count sits in his elegant mansion finishing his writings - Alphonse  a young Waloon officer  rides through the Murgia to reach his regiment in Naples but soon finds himself mysteriously detained at a inn in the strange and varied company of thieves  brigands  cabalists  noblemen  coquettes and gypsies  whose stories he records over ten days. A range of situations in stories-within-stories  which  like the Decameron and Tales from the Thousand and One Nights  provide entertainment on an epic scale. The two men's destiny intertwined  it is difficult to know who's real between the two and who belongs to the other's mind. This is a journey for both of them which Alphonse will continue  uncertain in the end  if his experiences were real or a dream.,Alberto Rondalli,["Nahuel Pérez Biscayart" "Pilar López de Ayala" "Jordi Mollà" "Caterina Murino"],false,https://m.media-amazon.com/images/M/MV5BNzI1NmFkMjItZjJiMC00ZjY3LWFlMTgtNWYzZGU5YzZjYTMyXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1119600409/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Abominable (2019),A magical Yeti must return to his family.,Jill Culto,["Chloe Bennet" "Albert Tsai" "Tenzing Norgay Trainor" "Joseph Izzo"],false,https://m.media-amazon.com/images/M/MV5BZjg0MWExYjQtNGQ5OS00M2ZkLTg0NjItZjllOWI1YTRjZmE5XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3789077529/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Midsomer Murders (1997-),A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.,Not Found,["John Nettles" "Jane Wymark" "Barry Jackson" "Jason Hughes"],false,https://m.media-amazon.com/images/M/MV5BYzZkZGIwYTItZjI3ZC00NzIyLWJlNjAtM2Q1NWRlZGQ2MzgwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3772298009/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Downton Abbey (2019),The continuing story of the Crawley family  wealthy owners of a large estate in the English countryside in the early 20th century.,Michael Engler,["Michelle Dockery" "Matthew Goode" "Tuppence Middleton" "Maggie Smith"],false,https://m.media-amazon.com/images/M/MV5BMmQxNGRkMjYtZTAyMy00MDUyLThiNmYtODI1NTkyNmI0ZTNlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi232176665/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
